driver_race	location_variable	num_stops	num_searches	num_hits	state	city	county
Hispanic	614	35	7	2	CA	San_Diego	San_Diego
Hispanic	615	79	18	4	CA	San_Diego	San_Diego
Hispanic	616	55	9	2	CA	San_Diego	San_Diego
Hispanic	617	21	2	0	CA	San_Diego	San_Diego
Hispanic	618	21	8	5	CA	San_Diego	San_Diego
Hispanic	619	1	0	0	CA	San_Diego	San_Diego
Hispanic	621	69	25	5	CA	San_Diego	San_Diego
Hispanic	622	40	9	2	CA	San_Diego	San_Diego
Hispanic	623	24	5	2	CA	San_Diego	San_Diego
Hispanic	624	87	19	4	CA	San_Diego	San_Diego
Hispanic	625	49	9	3	CA	San_Diego	San_Diego
Hispanic	626	58	7	4	CA	San_Diego	San_Diego
Hispanic	627	34	0	0	CA	San_Diego	San_Diego
Hispanic	628	146	30	11	CA	San_Diego	San_Diego
Hispanic	629	243	60	20	CA	San_Diego	San_Diego
Hispanic	631	13	2	0	CA	San_Diego	San_Diego
Hispanic	632	87	18	5	CA	San_Diego	San_Diego
Hispanic	633	125	25	4	CA	San_Diego	San_Diego
Hispanic	634	5	2	0	CA	San_Diego	San_Diego
Hispanic	635	9	4	1	CA	San_Diego	San_Diego
