driver_race	location_variable	num_stops	num_searches	num_hits
White	42	4	0	0
White	45	4	1	1
White	46	4	1	0
White	47	23	6	3
White	51	27	8	1
White	52	12	3	1
White	56	3	0	0
White	201	9	0	0
White	202	49	2	0
White	203	2	0	0
White	204	3	0	0
White	206	305	51	16
White	208	2	0	0
White	210	535	34	4
White	211	119	14	3
White	212	240	18	3
White	214	321	44	12
White	215	525	18	2
White	220	66	6	1
White	221	676	109	11
White	222	335	37	5
White	223	784	18	2
White	224	261	8	2
White	230	27	0	0
White	240	200	6	2
White	241	922	56	15
White	242	203	12	4
White	250	15	1	0
White	251	17	7	0
White	252	8	0	0
White	253	14	5	0
White	271	228	6	2
White	272	195	7	0
White	273	328	50	8
White	274	142	1	0
White	281	5	0	0
White	282	4	0	0
White	291	86	8	0
White	292	87	7	1
White	293	28	5	2
White	294	64	8	4
White	295	61	3	0
White	296	1	0	0
White	301	73	6	1
White	302	72	20	6
White	303	114	37	8
White	304	44	4	1
White	305	195	50	18
White	306	295	56	13
White	307	195	44	11
White	308	258	50	15
White	309	73	22	7
White	310	157	50	15
White	311	73	20	3
White	312	169	46	14
White	313	123	19	6
White	314	85	34	8
White	315	179	24	8
White	316	139	66	30
White	317	56	9	2
White	318	82	28	4
White	319	51	11	2
White	323	12	3	0
White	324	4	2	0
White	325	1	1	0
White	326	18	6	1
White	327	7	2	1
White	328	13	4	2
White	329	2	1	0
White	330	4	2	0
White	331	38	5	1
White	332	39	10	1
White	333	40	15	3
White	349	159	17	2
White	350	216	47	5
White	351	227	21	2
White	352	138	21	6
White	353	112	36	10
White	354	218	69	17
White	355	258	76	20
White	356	175	66	12
White	357	335	99	14
White	358	321	13	4
White	359	166	28	8
White	360	250	47	9
White	361	170	8	0
White	362	20	1	0
White	363	16	4	0
White	364	10	2	0
White	365	21	6	1
White	366	4	1	0
White	367	1	1	0
White	369	1	0	0
White	371	6	3	1
White	373	103	3	1
White	375	10	5	0
White	376	3	1	0
White	377	3	0	0
White	378	2	1	0
White	379	5	3	0
White	380	10	7	0
White	381	103	46	9
White	382	91	22	1
White	383	23	9	2
White	384	75	24	4
White	385	57	28	4
White	386	15	3	0
White	387	14	3	1
White	388	36	7	3
White	389	12	6	2
White	390	36	12	3
White	391	30	6	1
White	392	18	8	3
White	393	49	18	11
White	394	2	2	0
White	395	6	1	0
White	396	57	22	5
White	397	6	2	0
White	398	4	0	0
White	401	2	1	0
White	402	17	3	0
White	403	6	0	0
White	404	15	6	1
White	405	15	5	1
White	406	310	5	1
White	407	39	1	0
White	408	2	0	0
White	409	16	3	1
White	410	466	28	11
White	411	317	30	13
White	412	121	4	0
White	413	194	3	0
White	414	77	8	3
White	415	569	26	5
White	416	275	16	3
White	417	67	2	0
White	418	4	0	0
White	419	77	6	2
White	420	1	0	0
White	422	6	3	1
White	423	10	2	0
White	424	105	3	0
White	430	303	145	35
White	431	82	40	8
White	432	2	1	1
White	433	8	2	2
White	434	8	4	3
White	435	221	97	24
White	436	119	46	10
White	437	18	9	3
White	438	17	11	3
White	439	19	9	1
White	440	22	6	0
White	441	9	3	0
White	442	1	0	0
White	445	3	2	0
White	501	2	1	0
White	502	114	26	6
White	503	106	15	3
White	504	18	1	0
White	505	14	3	2
White	507	158	20	5
White	508	68	5	1
White	509	176	29	6
White	510	180	26	6
White	511	265	29	10
White	512	95	10	3
White	513	714	149	46
White	514	469	127	28
White	515	125	35	6
White	516	319	41	10
White	518	855	123	28
White	519	676	85	30
White	520	108	18	4
White	521	26	10	4
White	522	26	8	2
White	523	37	13	1
White	524	31	7	1
White	525	43	13	1
White	526	30	3	0
White	527	100	22	6
White	528	509	148	34
White	529	293	67	17
White	530	140	47	14
White	531	170	60	20
White	532	153	52	15
White	533	448	149	46
White	534	16	5	1
White	535	2	0	0
White	536	12	6	1
White	538	1	1	0
White	540	1	0	0
White	551	338	110	29
White	552	82	22	7
White	553	85	18	3
White	554	204	54	16
White	555	20	3	0
White	556	170	41	12
White	557	281	79	22
White	558	49	8	4
White	559	47	17	5
White	560	10	2	0
White	561	20	5	3
White	562	2	1	0
White	563	10	4	1
White	564	6	1	0
White	601	109	36	7
White	602	298	108	31
White	603	142	58	12
White	604	40	11	2
White	605	23	4	2
White	606	54	19	1
White	607	35	13	2
White	609	16	6	1
White	610	9	2	0
White	611	13	2	2
White	612	4	0	0
White	613	14	8	3
White	614	50	18	3
White	615	102	38	9
White	616	138	33	6
White	617	40	9	2
White	618	30	4	1
White	619	2	0	0
White	620	1	1	1
White	621	96	39	6
White	622	51	12	1
White	623	51	11	2
White	624	90	26	7
White	625	87	18	5
White	626	70	12	3
White	627	18	1	0
White	628	99	30	7
White	629	195	65	19
White	631	11	0	0
White	632	96	39	7
White	633	109	32	8
White	634	4	1	0
White	635	8	4	0
White	638	4	3	0
White	639	10	1	1
White	700	52	6	2
White	701	34	7	1
White	702	278	57	9
White	703	117	15	1
White	704	87	18	1
White	705	55	10	2
White	706	261	56	12
White	707	26	2	0
White	708	21	3	0
White	709	53	5	1
White	710	76	16	3
White	712	1	1	0
White	720	20	4	1
White	721	77	10	0
White	722	31	4	1
White	724	1	0	0
White	727	2	1	0
White	728	16	5	2
White	801	12	1	1
White	802	4	0	0
White	803	3	1	1
White	804	94	41	10
White	805	14	10	2
White	806	2	2	1
White	807	7	4	0
White	808	36	13	0
White	809	45	17	2
White	810	1	0	0
White	811	2	2	0
White	812	22	2	2
White	813	21	9	3
White	814	122	31	10
White	815	2	0	0
White	816	77	10	2
White	817	40	6	2
White	818	27	5	1
White	819	19	6	2
White	820	54	9	2
White	824	1	0	0
White	826	2	1	1
White	827	31	3	0
White	828	34	1	0
White	829	2	1	0
White	831	8	2	2
White	832	54	21	2
White	833	6	1	0
White	835	1	1	0
White	841	14	3	2
White	842	43	7	0
White	843	5	0	0
White	847	3	0	0
White	850	36	2	1
White	851	6	0	0
White	852	23	1	0
White	853	9	2	1
White	855	26	1	0
White	870	3	0	0
White	871	11	1	0
White	873	3	0	0
White	874	4	0	0
White	876	2	0	0
White	877	37	6	2
White	878	49	2	2
White	879	29	2	0
White	880	41	4	0
White	881	24	5	1
White	882	2	0	0
White	883	1	0	0
White	884	89	12	1
White	885	12	0	0
White	886	2	0	0
White	887	2	0	0
White	889	3	0	0
White	999	"11	379"	"2	154"	545
